164,38.25,49.926
73,29.25,49.926
106,43.25,51.002
115,100,51.54
122,100,52.616
103,76,53.154
138,100,53.692
128,99.5,53.692
72,57.5,54.768
118,92.25,51.54
122,100,54.768
73,97.75,54.768
74,58,55.844
131,77.25,53.154
162,100,55.844
90,94,55.844
98,100,54.768
118,91.5,55.306
67,93,56.92
86,23.75,55.306
95,100,53.692
83,85.25,53.692
90,66,55.844
129,85.5,53.692
197,100,56.382
92,76.75,56.382
89,100,54.768
91,90.25,55.844
104,89.5,56.382
130,63.5,55.844
94,100,55.306
89,79.75,55.844
72,80.25,54.768
88,83.5,54.768
136,100,55.844
106,70,55.844
109,100,52.616
72,87,52.616
83,95.75,53.692
258,83.25,54.23
266,100,55.306
84,87.25,55.306
92,100,53.692
105,78.25,53.692
207,72.75,55.306
85,62.25,52.616
82,99,54.768
98,50.25,54.768
80,65.25,53.692
123,100,53.692
80,100,54.23
69,43.75,54.768
105,80.25,50.464
124,100,54.768
90,96.5,53.692
155,56.5,54.23
87,80.25,52.078
95,100,53.692
104,88.75,53.154
85,69,52.616
95,70,50.464
111,100,51.54
88,83.25,51.54
103,100,52.616
100,91.25,52.078
103,100,52.616
74,69.75,53.154
88,100,52.078
97,84.25,51.54
